transaction_id,timestamp,customer_name,city,product,category,quantity,unit_price_eur,payment_method,satisfaction_score,returned,total_revenue_eur,data_quality_flag
1,2025-09-29 22:02:27,Clara Neild,Frankfurt,USB-Hub,Electronics,8,153.26,Kreditkarte,2,Nein,1226.08,OK
2,2026-05-12 19:01:09,Quinton Locke,Stuttgart,Monitor,Electronics,1,474.6,Kreditkarte,1,Nein,474.6,OK
3,2026-01-15 8:35:03,Damon Thumnel,Düsseldorf,Tastatur,Zubehör,3,19.9,PayPal,1,Nein,59.7,OK
4,2025-10-24 17:35:19,Perry Hourican,Stuttgart,Tastatur,Zubehör,1,562.12,Kreditkarte,1,Nein,562.12,OK
5,2025-08-21 16:39:35,Donia Hurdman,Leipzig,USB-Hub,Zubehör,6,410.85,PayPal,5,Ja,2465.1,OK
6,2026-04-16 15:18:38,Eydie Jostan,Hamburg,Maus,Electronics,2,755.67,PayPal,2,Nein,1511.34,OK
7,2025-12-10 8:36:23,Ransell Gaitley,Stuttgart,Smartphone,Electronics,7,904.82,Kreditkarte,4,Nein,6333.74,OK
8,2025-06-05 7:29:59,Shandie Makey,Hamburg,Monitor,Electronics,8,255.88,Kreditkarte,1,Nein,2047.04,OK
9,2025-10-11 10:17:09,Brodie Macconachy,Berlin,Kopfhörer,Zubehör,10,279.15,Banküberweisung,4,Ja,2791.5,OK
10,2025-06-09 6:42:50,Saundra Ransfield,München,Tastatur,Electronics,5,1046.45,PayPal,3,Nein,5232.25,OK
11,2026-04-28 16:46:33,Sonia Hubatsch,Berlin,USB-Hub,Electronics,2,151.94,PayPal,4,Nein,303.88,OK
12,2026-01-19 0:06:05,Ingaborg Ponnsett,Köln,Smartphone,Electronics,5,816.47,Banküberweisung,5,Nein,4082.35,OK
13,2026-04-28 16:10:28,Fernando Aglione,Köln,Maus,Electronics,7,1042.76,Banküberweisung,4,Nein,7299.32,OK
14,2025-11-26 2:42:30,Emerson Ridett,Leipzig,Tastatur,Zubehör,5,848.05,PayPal,3,Nein,4240.25,OK
15,2025-07-25 21:54:58,Ram Frankis,Stuttgart,Webcam,Electronics,2,1118.31,Barzahlung,3,Nein,2236.62,OK
16,2026-05-23 19:10:52,Jeannie Miebes,Berlin,Monitor,Zubehör,10,205.04,Kreditkarte,5,Nein,2050.4,OK
