transaction_id,timestamp,customer_name,city,product,category,quantity,unit_price_eur,payment_method,satisfaction_score,returned
1,2025-09-29 22:02:27,Clara Neild,Frankfurt,USB-Hub,Electronics,8,153.26,Kreditkarte,2,Nein
2,2026-05-12 19:01:09,Quinton Locke,Stuttgart,Monitor,Electronics,1,474.6,Kreditkarte,1,Nein
3,2026-01-15 8:35:03,Damon Thumnel,Düsseldorf,Tastatur,Zubehör,3,19.9,PayPal,1,Nein
4,2025-10-24 17:35:19,Perry Hourican,Stuttgart,Tastatur,Zubehör,0,562.12,Kreditkarte,1,Nein
5,2025-08-21 16:39:35,Donia Hurdman,Leipzig,USB-Hub,Zubehör,6,410.85,PayPal,5,Ja
6,2026-04-16 15:18:38,Eydie Jostan,Hamburg,Maus,Electronics,2,755.67,PayPal,2,Nein
7,2025-12-10 8:36:23,Ransell Gaitley,Stuttgart,Smartphone,Electronics,7,904.82,Kreditkarte,4,Nein
8,2025-06-05 7:29:59,Shandie Makey,Hamburg,Monitor,Electronics,8,255.88,Kreditkarte,1,Nein
9,2025-10-11 10:17:09,Brodie Macconachy,Berlin,Kopfhörer,Zubehör,10,279.15,Banküberweisung,4,Ja
10,2025-06-09 6:42:50,Saundra Ransfield,München,Tastatur,Electronics,5,1046.45,PayPal,,Nein
11,2026-04-28 16:46:33,Sonia Hubatsch,Berlin,USB-Hub,Electronics,2,151.94,PayPal,4,Nein
12,2026-01-19 0:06:05,Ingaborg Ponnsett,Köln,Smartphone,Electronics,5,816.47,Banküberweisung,5,Nein
13,2026-04-28 16:10:28,Fernando Aglione,Köln,Maus,Electronics,7,1042.76,Banküberweisung,4,Nein
14,2025-11-26 2:42:30,Emerson Ridett,Leipzig,Tastatur,Zubehör,5,848.05,PayPal,3,Nein
15,2025-07-25 21:54:58,Ram Frankis,Stuttgart,Webcam,Electronics,2,1118.31,Barzahlung,3,Nein
16,2026-05-23 19:10:52,Jeannie Miebes,Berlin,Monitor,Zubehör,10,205.04,Kreditkarte,5,Nein
17,2025-09-06 21:43:05,Murry Stollberger,Leipzig,Maus,Electronics,10,570.15,PayPal,5,Nein
18,2026-05-05 10:59:06,Faythe MacKenny,Stuttgart,Laptop,Zubehör,4,351.51,Barzahlung,5,Ja
19,2026-03-10 7:24:41,Charin Kemmis,Stuttgart,Laptop,Zubehör,10,223.7,Barzahlung,5,Nein
20,2025-06-15 22:23:44,Dido Sharper,Stuttgart,Smartphone,Zubehör,8,631.81,Barzahlung,1,Nein
21,2026-03-09 16:45:03,Elvis Landrick,München,Kopfhörer,Electronics,5,743.78,Kreditkarte,3,Nein
22,2026-03-23 3:57:00,Sukey Luberti,Leipzig,Kopfhörer,Zubehör,-1,739.27,PayPal,2,Nein
23,2025-12-11 22:17:34,Kaleena Pleavin,München,Smartphone,Zubehör,6,928.32,PayPal,2,Nein
24,2026-04-19 13:02:48,Selia Liddell,München,Webcam,Zubehör,1,605.81,PayPal,1,Nein
25,2026-05-24 3:37:47,Bellina La Wille,Köln,USB-Hub,Zubehör,2,1135.73,Kreditkarte,4,Ja
26,2026-05-19 0:06:51,Ailina Deegan,Leipzig,Webcam,Electronics,4,420.37,Banküberweisung,5,Nein
27,2026-02-17 18:26:39,Lancelot Birrane,Düsseldorf,Maus,Electronics,8,265.32,PayPal,3,Ja
28,2025-08-27 13:46:02,Mavra Innocenti,Berlin,Kopfhörer,Electronics,5,475.16,Kreditkarte,5,Nein
29,2025-11-20 19:55:18,Otho Ramsby,Köln,Kopfhörer,Zubehör,4,1008.74,PayPal,2,Ja
30,2025-06-26 9:04:35,Anissa Paulack,Stuttgart,USB-Hub,Zubehör,7,1007.5,PayPal,5,Nein
31,2025-12-19 16:29:33,Emilio Hedgecock,Köln,Laptop,Electronics,4,526.16,Banküberweisung,4,Nein
32,2026-02-19 20:11:29,Natasha Longworth,Düsseldorf,Monitor,Zubehör,6,512.86,Barzahlung,4,Ja
33,2025-08-12 7:50:27,Prent Sleeman,Stuttgart,Kopfhörer,Zubehör,4,497.92,PayPal,2,Nein
34,2026-03-06 22:28:12,Nara Hargreaves,Berlin,Maus,Electronics,8,199.22,Banküberweisung,4,Nein
35,2025-08-01 9:01:32,Myrtice Guiel,Düsseldorf,Smartphone,Zubehör,5,364.62,Barzahlung,1,Nein
36,2025-09-24 18:12:13,Emerson Newns,Stuttgart,Tastatur,Zubehör,7,873.59,Kreditkarte,3,Nein
37,2025-08-21 4:00:57,Winne Cleft,Stuttgart,Monitor,Electronics,6,311.12,PayPal,5,Nein
38,2025-10-25 4:44:01,Carleen Worgan,Köln,Smartphone,Electronics,3,581.88,PayPal,4,Nein
39,2026-02-28 2:58:56,Silvana Scrivener,München,Webcam,Electronics,3,375.28,Banküberweisung,5,Nein
40,2025-08-28 8:55:46,Elly McCurlye,München,Maus,Electronics,2,121.12,Barzahlung,1,Nein
41,2025-10-22 14:10:59,Daisey Udden,Frankfurt,Kopfhörer,Electronics,6,394.46,Banküberweisung,3,Nein
42,2025-10-30 5:24:46,Eileen McAuslan,Berlin,Webcam,Zubehör,9,355.84,Banküberweisung,1,Nein
43,2026-03-24 7:48:40,Leonhard Robbins,Frankfurt,Tastatur,Zubehör,3,922.25,Kreditkarte,2,Nein
44,2026-04-02 9:05:44,Fredra Maccrae,München,USB-Hub,Electronics,1,252.84,Banküberweisung,2,Ja
45,2026-05-19 12:39:26,Robbie Veldens,Stuttgart,USB-Hub,Electronics,2,1175.81,Barzahlung,3,Nein
46,2025-08-27 16:18:09,Papagena Burbridge,Stuttgart,Smartphone,Zubehör,10,1123.87,PayPal,2,Ja
47,2026-05-13 8:08:00,Stephanus Denzilow,Hamburg,Smartphone,Electronics,5,403.88,PayPal,4,Nein
48,2025-06-10 22:14:29,Silvan Barbery,Stuttgart,Kopfhörer,Electronics,10,1033.58,Banküberweisung,3,Nein
49,2026-02-19 1:27:42,Chaddie Malimoe,Köln,Webcam,Electronics,1,839.84,Barzahlung,3,Nein
50,2026-05-01 13:23:12,Darla Abilowitz,Hamburg,Tastatur,Electronics,9,885.17,Barzahlung,5,Nein
51,2025-08-22 17:25:13,Charil Pratt,Leipzig,Webcam,Electronics,5,15.6,PayPal,4,Ja
52,2026-03-30 7:08:06,Yvette Trevett,Leipzig,USB-Hub,Electronics,4,612.47,Banküberweisung,2,Nein
53,2026-04-10 2:46:33,Huey Daddow,München,Maus,Zubehör,9,740.12,Kreditkarte,5,Nein
54,2025-06-11 22:59:03,Ardra Novik,Leipzig,Tastatur,Zubehör,10,1107.6,PayPal,5,Ja
55,2025-09-26 22:40:20,Mamie Baukham,Stuttgart,Maus,Electronics,4,814.79,Barzahlung,5,Nein
56,2026-02-25 23:52:10,Dallas Balmer,Leipzig,USB-Hub,Zubehör,5,819.16,Barzahlung,4,Nein
57,2026-04-27 2:20:56,Janet Saladine,Berlin,Maus,Electronics,8,215.04,PayPal,4,Nein
58,2026-05-04 23:10:14,Moyra Ockwell,Leipzig,Smartphone,Zubehör,1,681.74,Banküberweisung,4,Nein
59,2026-03-31 6:50:50,Kellsie Di Carlo,Frankfurt,Monitor,Electronics,5,856.33,Kreditkarte,5,Nein
60,2025-08-11 4:44:13,Bernarr Butchers,Köln,Laptop,Electronics,9,373.24,Banküberweisung,2,Ja
61,2025-10-04 17:08:22,Arlina Hexam,Düsseldorf,Tastatur,Zubehör,4,1094.04,Kreditkarte,1,Ja
62,2026-04-25 18:16:32,Aldrich Gilligan,Frankfurt,Laptop,Zubehör,5,935.64,Banküberweisung,1,Nein
63,2026-01-05 7:52:26,Lodovico Mordie,Frankfurt,Smartphone,Zubehör,5,841.3,Kreditkarte,1,Nein
64,2025-08-05 13:55:47,Amelita Gyurko,München,Laptop,Electronics,1,1191.47,Barzahlung,4,Nein
