transaction_id,timestamp,customer_name,city,product,category,quantity,unit_price_eur,payment_method,satisfaction_score,returned
1,2025-11-29,Clara Neild,Frankfurt,USB-Hub,Electronics,8,153.26,Kreditkarte,2,Nein
2,2026-05-01,Quinton Locke,Stuttgart,Monitor,Electronics,1,474.6,Kreditkarte,1,Nein
3,2025-09-01,Damon Thumnel,Düsseldorf,Tastatur,Zubehör,3,19.9,PayPal,1,Nein
4,2025-12-29,Perry Hourican,Stuttgart,Tastatur,Zubehör,0,562.12,Kreditkarte,1,Nein
5,2025-07-13,Donia Hurdman,Leipzig,USB-Hub,Zubehör,6,410.85,PayPal,5,Ja
6,2025-12-24,Eydie Jostan,Hamburg,Maus,Electronics,2,755.67,PayPal,2,Nein
7,2026-02-08,Ransell Gaitley,Stuttgart,Smartphone,Electronics,7,904.82,Kreditkarte,4,Nein
8,2025-03-05,Shandie Makey,Hamburg,Monitor,Electronics,8,255.88,Kreditkarte,1,Nein
9,2026-05-27,Brodie Macconachy,Berlin,Kopfhörer,Zubehör,10,279.15,Banküberweisung,4,Ja
10,2025-09-02,Saundra Ransfield,München,Tastatur,Electronics,5,1046.45,PayPal,,Nein
11,2025-04-19,Sonia Hubatsch,Berlin,USB-Hub,Electronics,2,151.94,PayPal,4,Nein
12,2025-11-02,Ingaborg Ponnsett,Köln,Smartphone,Electronics,5,816.47,Banküberweisung,5,Nein
13,2025-10-19,Fernando Aglione,Köln,Maus,Electronics,7,1042.76,Banküberweisung,4,Nein
14,2025-04-07,Emerson Ridett,Leipzig,Tastatur,Zubehör,5,848.05,PayPal,3,Nein
15,2025-06-17,Ram Frankis,Stuttgart,Webcam,Electronics,2,1118.31,Barzahlung,3,Nein
16,2025-02-22,Jeannie Miebes,Berlin,Monitor,Zubehör,10,205.04,Kreditkarte,5,Nein
17,2025-01-20,Murry Stollberger,Leipzig,Maus,Electronics,10,570.15,PayPal,5,Nein
18,2025-12-14,Faythe MacKenny,Stuttgart,Laptop,Zubehör,4,351.51,Barzahlung,5,Ja
19,2026-02-21,Charin Kemmis,Stuttgart,Laptop,Zubehör,10,223.7,Barzahlung,5,Nein
20,2025-11-27,Dido Sharper,Stuttgart,Smartphone,Zubehör,8,631.81,Barzahlung,1,Nein
21,2026-02-20,Elvis Landrick,München,Kopfhörer,Electronics,5,743.78,Kreditkarte,3,Nein
22,2025-10-20,Sukey Luberti,Leipzig,Kopfhörer,Zubehör,-1,739.27,PayPal,2,Nein
23,2025-05-17,Kaleena Pleavin,München,Smartphone,Zubehör,6,928.32,PayPal,2,Nein
24,2025-11-18,Selia Liddell,München,Webcam,Zubehör,1,605.81,PayPal,1,Nein
25,2026-05-03,Bellina La Wille,Köln,USB-Hub,Zubehör,2,1135.73,Kreditkarte,4,Ja
26,2025-02-17,Ailina Deegan,Leipzig,Webcam,Electronics,4,420.37,Banküberweisung,5,Nein
27,2025-01-25,Lancelot Birrane,Düsseldorf,Maus,Electronics,8,265.32,PayPal,3,Ja
28,2026-01-09,Mavra Innocenti,Berlin,Kopfhörer,Electronics,5,475.16,Kreditkarte,5,Nein
29,2025-06-18,Otho Ramsby,Köln,Kopfhörer,Zubehör,4,1008.74,PayPal,2,Ja
30,2025-11-22,Anissa Paulack,Stuttgart,USB-Hub,Zubehör,7,1007.5,PayPal,5,Nein
31,2025-02-11,Emilio Hedgecock,Köln,Laptop,Electronics,4,526.16,Banküberweisung,4,Nein
32,2025-02-21,Natasha Longworth,Düsseldorf,Monitor,Zubehör,6,512.86,Barzahlung,4,Ja
33,2025-09-30,Prent Sleeman,Stuttgart,Kopfhörer,Zubehör,4,497.92,PayPal,2,Nein
34,2025-07-14,Nara Hargreaves,Berlin,Maus,Electronics,8,199.22,Banküberweisung,4,Nein
35,2026-01-13,Myrtice Guiel,Düsseldorf,Smartphone,Zubehör,5,364.62,Barzahlung,1,Nein
36,2025-12-17,Emerson Newns,Stuttgart,Tastatur,Zubehör,7,873.59,Kreditkarte,3,Nein
37,2025-06-21,Winne Cleft,Stuttgart,Monitor,Electronics,6,311.12,PayPal,5,Nein
38,2026-01-16,Carleen Worgan,Köln,Smartphone,Electronics,3,581.88,PayPal,4,Nein
39,2025-05-23,Silvana Scrivener,München,Webcam,Electronics,3,375.28,Banküberweisung,5,Nein
40,2026-05-11,Elly McCurlye,München,Maus,Electronics,2,121.12,Barzahlung,1,Nein
41,2025-02-27,Daisey Udden,Frankfurt,Kopfhörer,Electronics,6,394.46,Banküberweisung,3,Nein
42,2025-07-18,Eileen McAuslan,Berlin,Webcam,Zubehör,9,355.84,Banküberweisung,1,Nein
43,2025-04-25,Leonhard Robbins,Frankfurt,Tastatur,Zubehör,3,922.25,Kreditkarte,2,Nein
44,2025-04-25,Fredra Maccrae,München,USB-Hub,Electronics,1,252.84,Banküberweisung,2,Ja
45,2025-03-08,Robbie Veldens,Stuttgart,USB-Hub,Electronics,2,1175.81,Barzahlung,3,Nein
46,2026-03-12,Papagena Burbridge,Stuttgart,Smartphone,Zubehör,10,1123.87,PayPal,2,Ja
47,2025-05-04,Stephanus Denzilow,Hamburg,Smartphone,Electronics,5,403.88,PayPal,4,Nein
48,2026-03-03,Silvan Barbery,Stuttgart,Kopfhörer,Electronics,10,1033.58,Banküberweisung,3,Nein
49,2025-04-09,Chaddie Malimoe,Köln,Webcam,Electronics,1,839.84,Barzahlung,3,Nein
50,2025-08-11,Darla Abilowitz,Hamburg,Tastatur,Electronics,9,885.17,Barzahlung,5,Nein
51,2026-01-06,Charil Pratt,Leipzig,Webcam,Electronics,5,15.6,PayPal,4,Ja
52,2025-11-05,Yvette Trevett,Leipzig,USB-Hub,Electronics,4,612.47,Banküberweisung,2,Nein
53,2026-02-17,Huey Daddow,München,Maus,Zubehör,9,740.12,Kreditkarte,5,Nein
54,2026-03-07,Ardra Novik,Leipzig,Tastatur,Zubehör,10,1107.6,PayPal,5,Ja
55,2026-03-20,Mamie Baukham,Stuttgart,Maus,Electronics,4,814.79,Barzahlung,5,Nein
56,2026-04-21,Dallas Balmer,Leipzig,USB-Hub,Zubehör,5,819.16,Barzahlung,4,Nein
57,2026-05-07,Janet Saladine,Berlin,Maus,Electronics,8,215.04,PayPal,4,Nein
58,2025-11-27,Moyra Ockwell,Leipzig,Smartphone,Zubehör,1,681.74,Banküberweisung,4,Nein
59,2025-09-18,Kellsie Di Carlo,Frankfurt,Monitor,Electronics,5,856.33,Kreditkarte,5,Nein
60,2026-05-15,Bernarr Butchers,Köln,Laptop,Electronics,9,373.24,Banküberweisung,2,Ja
61,2025-11-01,Arlina Hexam,Düsseldorf,Tastatur,Zubehör,4,1094.04,Kreditkarte,1,Ja
62,2025-11-04,Aldrich Gilligan,Frankfurt,Laptop,Zubehör,5,935.64,Banküberweisung,1,Nein
63,2025-03-02,Lodovico Mordie,Frankfurt,Smartphone,Zubehör,5,841.3,Kreditkarte,1,Nein
64,2026-05-03,Amelita Gyurko,München,Laptop,Electronics,1,1191.47,Barzahlung,4,Nein
65,2026-02-18,Farrah Neeson,Leipzig,Tastatur,Electronics,3,541.08,Barzahlung,4,Ja
66,2025-11-23,Ellis Bartoloma,Frankfurt,Smartphone,Electronics,8,482.78,Banküberweisung,2,Nein
67,2025-01-03,Aldous Chiommienti,Leipzig,Kopfhörer,Zubehör,6,718.82,PayPal,4,Nein
68,2025-04-04,Beverly Symonds,Köln,Webcam,Electronics,3,960.11,Kreditkarte,4,Nein
69,2025-01-29,Druci Urry,Leipzig,Tastatur,Zubehör,4,254.62,PayPal,1,Nein
70,2025-09-29,Uriel Leonida,Leipzig,Kopfhörer,Electronics,5,146.01,Kreditkarte,,Ja
71,2026-03-04,Charil Haistwell,Leipzig,Monitor,Zubehör,6,194.19,Barzahlung,5,Nein
72,2025-05-02,Ali Blackey,Köln,Maus,Zubehör,4,125.77,PayPal,3,Nein
73,2025-05-06,Colan Kitlee,Düsseldorf,Kopfhörer,Zubehör,5,564.07,PayPal,1,Nein
74,2025-09-20,Brandea Forsey,Leipzig,Monitor,Zubehör,6,797.19,Barzahlung,4,Nein
75,2025-09-25,Kirsteni Samart,Frankfurt,Tastatur,Zubehör,9,108.46,Banküberweisung,4,Ja
76,2025-05-28,Cristen Kingett,Düsseldorf,Monitor,Electronics,7,775.81,PayPal,1,Nein
77,2025-02-28,Bertina Streeton,München,Kopfhörer,Electronics,1,392.39,Barzahlung,3,Nein
78,2025-04-10,Devlen Reef,Berlin,USB-Hub,Zubehör,1,520.99,PayPal,1,Nein
79,2025-01-16,Hayden Staig,Stuttgart,Monitor,Electronics,10,767.67,Barzahlung,1,Ja
80,2025-11-18,Vina MacMenamie,berlin,Monitor,Zubehör,2,241.08,Kreditkarte,2,Nein
81,2026-05-29,Vevay Cockren,Frankfurt,Maus,Zubehör,5,66.95,Kreditkarte,5,Nein
82,2025-07-14,Johan Plunkett,Hamburg,Webcam,Electronics,5,782.28,Banküberweisung,5,Nein
83,2025-12-23,Eran Shillam,Leipzig,Monitor,Electronics,10,133.36,PayPal,2,Nein
84,2025-03-10,Rozella Charley,Leipzig,Maus,Electronics,3,807.26,PayPal,3,Nein
85,2025-01-06,Netti Caulfield,Hamburg,Kopfhörer,Zubehör,6,408.52,Banküberweisung,5,Ja
86,2026-03-30,Heriberto Boich,Berlin,Monitor,Electronics,7,995.26,Kreditkarte,5,Nein
87,2025-09-14,Deeann Killner,Stuttgart,Tastatur,Zubehör,10,163.77,Barzahlung,1,Nein
88,2026-05-16,Matilde Dowles,Berlin,Kopfhörer,Zubehör,0,514.51,Kreditkarte,,Nein
89,2025-07-23,Brianne Kernar,Köln,Maus,Zubehör,4,421.11,Barzahlung,2,Nein
90,2026-05-23,Tadeas Bakhrushin,Stuttgart,Webcam,Electronics,9,1091.23,Kreditkarte,4,Ja
91,2025-11-20,Durand Braunes,München,Webcam,Zubehör,3,498.27,Barzahlung,4,Nein
92,2025-07-20,Alameda Head,Hamburg,Kopfhörer,Electronics,3,360.9,Banküberweisung,5,Nein
93,2025-08-05,Griselda Dami,berlin,Laptop,Zubehör,8,844.2,Kreditkarte,5,Nein
94,2025-06-11,Kellie Tedstone,Köln,Monitor,Electronics,7,456.32,PayPal,5,Nein
